x,y
-0.25,-0.25
-0.250000,0.250000
-0.250000,0.750000
-0.250000,1.250000
-0.250000,1.750000
0.250000,-0.250000
0.250000,0.250000
0.250000,0.750000
0.250000,1.250000
0.250000,1.750000
0.750000,-0.250000
0.750000,0.250000
0.750000,0.750000
0.750000,1.250000
0.750000,1.750000
1.250000,-0.250000
1.250000,0.250000
1.250000,0.750000
1.250000,1.250000
1.250000,1.750000
1.750000,-0.250000
1.750000,0.250000
1.750000,0.750000
1.750000,1.250000
1.750000,1.750000
